session,batch_code,country,group,line_id,operator,line,render_kind,shape_class,stations,km,apple_checks,status
25,J04-3,jp,JR西日本在来線,西日本旅客鉄道␟舞鶴線,西日本旅客鉄道,舞鶴線,jr_conventional,ordinary_linear,6,26.7,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟大阪環状線,西日本旅客鉄道,大阪環状線,jr_conventional,loop,19,21.8,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟おおさか東線,西日本旅客鉄道,おおさか東線,jr_conventional,ordinary_linear,14,20.6,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟吉備線,西日本旅客鉄道,吉備線,jr_conventional,ordinary_linear,10,20.6,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟境線,西日本旅客鉄道,境線,jr_conventional,ordinary_linear,16,18.4,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟氷見線,西日本旅客鉄道,氷見線,jr_conventional,ordinary_linear,8,16.7,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟可部線,西日本旅客鉄道,可部線,jr_conventional,ordinary_linear,14,15.8,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟小野田線,西日本旅客鉄道,小野田線,jr_conventional,branched_terminal,12,14.2,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟本四備讃線,西日本旅客鉄道,本四備讃線,jr_conventional,ordinary_linear,5,13.2,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟JR東西線,西日本旅客鉄道,JR東西線,jr_conventional,ordinary_linear,9,12.5,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟関西空港線,西日本旅客鉄道,関西空港線,jr_conventional,ordinary_linear,3,11.6,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟博多南線,西日本旅客鉄道,博多南線,jr_conventional,ordinary_linear,2,9.4,,unverified
26,J04-4,jp,JR西日本在来線,西日本旅客鉄道␟桜島線,西日本旅客鉄道,桜島線,jr_conventional,ordinary_linear,4,4.4,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟日豊線,九州旅客鉄道,日豊線,jr_conventional,disconnected,113,475.2,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟鹿児島線,九州旅客鉄道,鹿児島線,jr_conventional,disconnected,99,300.8,,pending
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟長崎線,九州旅客鉄道,長崎線,jr_conventional,branched_terminal,41,149.3,,pending
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟豊肥線,九州旅客鉄道,豊肥線,jr_conventional,ordinary_linear,37,148.2,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟久大線,九州旅客鉄道,久大線,jr_conventional,ordinary_linear,37,140.9,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟肥薩線,九州旅客鉄道,肥薩線,jr_conventional,loop_and_switchbacks_suspended,28,124.7,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟日南線,九州旅客鉄道,日南線,jr_conventional,ordinary_linear,28,89.3,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟指宿枕崎線,九州旅客鉄道,指宿枕崎線,jr_conventional,ordinary_linear,36,88.0,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟日田彦山線,九州旅客鉄道,日田彦山線,jr_conventional,ordinary_linear,24,68.9,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟筑肥線,九州旅客鉄道,筑肥線,jr_conventional,disconnected,31,68.7,,unverified
27,J05-1,jp,JR東海・四国・九州在来線,九州旅客鉄道␟筑豊線,九州旅客鉄道,筑豊線,jr_conventional,ordinary_linear,26,66.9,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟吉都線,九州旅客鉄道,吉都線,jr_conventional,ordinary_linear,17,61.8,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟佐世保線,九州旅客鉄道,佐世保線,jr_conventional,branched_terminal,14,48.8,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟大村線,九州旅客鉄道,大村線,jr_conventional,ordinary_linear,15,48.0,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟唐津線,九州旅客鉄道,唐津線,jr_conventional,ordinary_linear,13,42.7,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟三角線,九州旅客鉄道,三角線,jr_conventional,ordinary_linear,9,25.9,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟篠栗線,九州旅客鉄道,篠栗線,jr_conventional,ordinary_linear,11,25.1,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟香椎線,九州旅客鉄道,香椎線,jr_conventional,ordinary_linear,16,25.1,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟後藤寺線,九州旅客鉄道,後藤寺線,jr_conventional,ordinary_linear,6,13.4,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟山陽線,九州旅客鉄道,山陽線,jr_conventional,ordinary_linear,2,6.3,,unverified
28,J05-2,jp,JR東海・四国・九州在来線,九州旅客鉄道␟宮崎空港線,九州旅客鉄道,宮崎空港線,jr_conventional,ordinary_linear,2,1.5,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟東海道線,東海旅客鉄道,東海道線,jr_conventional,complex_multicycle,89,371.3,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟中央線,東海旅客鉄道,中央線,jr_conventional,ordinary_linear,40,199.9,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟飯田線,東海旅客鉄道,飯田線,jr_conventional,branch_rejoins,94,197.3,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟高山線,東海旅客鉄道,高山線,jr_conventional,branched_terminal,36,190.6,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟紀勢線,東海旅客鉄道,紀勢線,jr_conventional,branch_rejoins,41,181.2,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟身延線,東海旅客鉄道,身延線,jr_conventional,ordinary_linear,39,89.9,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟関西線,東海旅客鉄道,関西線,jr_conventional,complex_multicycle,19,62.6,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟御殿場線,東海旅客鉄道,御殿場線,jr_conventional,complex_loop,20,62.0,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟名松線,東海旅客鉄道,名松線,jr_conventional,ordinary_linear,15,43.7,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟参宮線,東海旅客鉄道,参宮線,jr_conventional,ordinary_linear,10,29.3,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟武豊線,東海旅客鉄道,武豊線,jr_conventional,branch_rejoins,10,20.7,,unverified
29,J05-3,jp,JR東海・四国・九州在来線,東海旅客鉄道␟太多線,東海旅客鉄道,太多線,jr_conventional,ordinary_linear,8,18.0,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟予讃線,四国旅客鉄道,予讃線,jr_conventional,branch_rejoins,95,325.4,,pending
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟土讃線,四国旅客鉄道,土讃線,jr_conventional,branched_terminal,61,198.5,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟牟岐線,四国旅客鉄道,牟岐線,jr_conventional,ordinary_linear,29,78.1,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟予土線,四国旅客鉄道,予土線,jr_conventional,ordinary_linear,20,76.2,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟高徳線,四国旅客鉄道,高徳線,jr_conventional,ordinary_linear,29,74.7,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟徳島線,四国旅客鉄道,徳島線,jr_conventional,ordinary_linear,24,67.5,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟本四備讃線,四国旅客鉄道,本四備讃線,jr_conventional,branched_terminal,2,19.2,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟鳴門線,四国旅客鉄道,鳴門線,jr_conventional,ordinary_linear,7,8.5,,unverified
30,J05-4,jp,JR東海・四国・九州在来線,四国旅客鉄道␟内子線,四国旅客鉄道,内子線,jr_conventional,ordinary_linear,4,5.5,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟5号線東西線,東京地下鉄,5号線東西線,subway,ordinary_linear,23,31.0,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟8号線有楽町線,東京地下鉄,8号線有楽町線,subway,ordinary_linear,24,28.6,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟9号線千代田線,東京地下鉄,9号線千代田線,subway,ordinary_linear,20,25.4,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟4号線丸ノ内線,東京地下鉄,4号線丸ノ内線,subway,ordinary_linear,25,24.6,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟7号線南北線,東京地下鉄,7号線南北線,subway,ordinary_linear,19,21.5,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟2号線日比谷線,東京地下鉄,2号線日比谷線,subway,ordinary_linear,22,20.5,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟11号線半蔵門線,東京地下鉄,11号線半蔵門線,subway,ordinary_linear,14,17.1,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟3号線銀座線,東京地下鉄,3号線銀座線,subway,ordinary_linear,19,14.3,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟13号線副都心線,東京地下鉄,13号線副都心線,subway,ordinary_linear,11,12.2,,unverified
31,J06-1,jp,地下鉄,東京地下鉄␟4号線丸ノ内線分岐線,東京地下鉄,4号線丸ノ内線分岐線,subway,ordinary_linear,4,3.4,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟2号線(谷町線),大阪市高速電気軌道,2号線(谷町線),subway,ordinary_linear,26,28.2,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟1号線(御堂筋線),大阪市高速電気軌道,1号線(御堂筋線),subway,ordinary_linear,20,24.8,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟4号線(中央線),大阪市高速電気軌道,4号線(中央線),subway,ordinary_linear,15,21.2,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟7号線(長堀鶴見緑地線),大阪市高速電気軌道,7号線(長堀鶴見緑地線),subway,ordinary_linear,17,15.0,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟5号線(千日前線),大阪市高速電気軌道,5号線(千日前線),subway,ordinary_linear,14,12.9,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟8号線(今里筋線),大阪市高速電気軌道,8号線(今里筋線),subway,ordinary_linear,11,12.1,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟3号線(四つ橋線),大阪市高速電気軌道,3号線(四つ橋線),subway,ordinary_linear,11,11.5,,unverified
32,J06-2,jp,地下鉄,大阪市高速電気軌道␟6号線(堺筋線),大阪市高速電気軌道,6号線(堺筋線),subway,ordinary_linear,10,8.7,,unverified
32,J06-2,jp,地下鉄,名古屋市␟1号線東山線,名古屋市,1号線東山線,subway,ordinary_linear,22,20.9,,unverified
32,J06-2,jp,地下鉄,名古屋市␟3号線鶴舞線,名古屋市,3号線鶴舞線,subway,ordinary_linear,20,20.5,,unverified
32,J06-2,jp,地下鉄,名古屋市␟6号線桜通線,名古屋市,6号線桜通線,subway,ordinary_linear,21,19.2,,unverified
32,J06-2,jp,地下鉄,名古屋市␟4号線名城線,名古屋市,4号線名城線,subway,ordinary_linear,18,17.5,,unverified
32,J06-2,jp,地下鉄,名古屋市␟2号線名城線,名古屋市,2号線名城線,subway,ordinary_linear,12,9.0,,unverified
32,J06-2,jp,地下鉄,名古屋市␟2号線名港線,名古屋市,2号線名港線,subway,ordinary_linear,7,6.1,,unverified
32,J06-2,jp,地下鉄,名古屋市␟上飯田線,名古屋市,上飯田線,subway,ordinary_linear,2,1.0,,unverified
33,J06-3,jp,地下鉄,神戸市␟西神延伸線,神戸市,西神延伸線,subway,ordinary_linear,6,10.4,,unverified
33,J06-3,jp,地下鉄,神戸市␟海岸線,神戸市,海岸線,subway,ordinary_linear,10,8.0,,unverified
33,J06-3,jp,地下鉄,神戸市␟北神線,神戸市,北神線,subway,ordinary_linear,2,7.7,,unverified
33,J06-3,jp,地下鉄,神戸市␟山手線,神戸市,山手線,subway,ordinary_linear,8,7.6,,unverified
33,J06-3,jp,地下鉄,神戸市␟西神線,神戸市,西神線,subway,ordinary_linear,4,5.8,,unverified
33,J06-3,jp,地下鉄,東京都␟12号線大江戸線,東京都,12号線大江戸線,subway,loop_with_tail,38,40.8,,pending
33,J06-3,jp,地下鉄,東京都␟6号線三田線,東京都,6号線三田線,subway,ordinary_linear,27,26.7,,unverified
33,J06-3,jp,地下鉄,東京都␟10号線新宿線,東京都,10号線新宿線,subway,ordinary_linear,21,23.9,,unverified
33,J06-3,jp,地下鉄,東京都␟1号線浅草線,東京都,1号線浅草線,subway,ordinary_linear,20,18.5,,unverified
33,J06-3,jp,地下鉄,横浜市␟3号線,横浜市,3号線,subway,ordinary_linear,16,21.3,,unverified
33,J06-3,jp,地下鉄,横浜市␟1号線,横浜市,1号線,subway,ordinary_linear,17,20.1,,unverified
33,J06-3,jp,地下鉄,横浜市␟4号線,横浜市,4号線,subway,ordinary_linear,10,13.1,,unverified
34,J06-4,jp,地下鉄,札幌市␟東西線,札幌市,東西線,subway,ordinary_linear,19,20.3,,unverified
34,J06-4,jp,地下鉄,札幌市␟南北線,札幌市,南北線,subway,ordinary_linear,16,14.8,,unverified
34,J06-4,jp,地下鉄,札幌市␟東豊線,札幌市,東豊線,subway,ordinary_linear,14,13.8,,unverified
34,J06-4,jp,地下鉄,福岡市␟3号線(七隈線),福岡市,3号線(七隈線),subway,ordinary_linear,18,13.8,,unverified
34,J06-4,jp,地下鉄,福岡市␟1号線(空港線),福岡市,1号線(空港線),subway,ordinary_linear,13,13.2,,unverified
34,J06-4,jp,地下鉄,福岡市␟2号線(箱崎線),福岡市,2号線(箱崎線),subway,ordinary_linear,7,5.0,,unverified
34,J06-4,jp,地下鉄,京都市␟東西線,京都市,東西線,subway,ordinary_linear,17,17.6,,unverified
34,J06-4,jp,地下鉄,京都市␟烏丸線,京都市,烏丸線,subway,ordinary_linear,15,14.1,,unverified
34,J06-4,jp,地下鉄,仙台市␟南北線,仙台市,南北線,subway,ordinary_linear,17,14.9,,unverified
34,J06-4,jp,地下鉄,仙台市␟東西線,仙台市,東西線,subway,ordinary_linear,13,14.0,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟伊勢崎線,東武鉄道,伊勢崎線,private,branched_terminal,55,115.4,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟日光線,東武鉄道,日光線,private,ordinary_linear,27,94.9,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟東上本線,東武鉄道,東上本線,private,branch_rejoins,39,76.5,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟野田線,東武鉄道,野田線,private,branched_terminal,35,62.4,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟宇都宮線,東武鉄道,宇都宮線,private,ordinary_linear,11,24.3,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟佐野線,東武鉄道,佐野線,private,ordinary_linear,10,22.2,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟桐生線,東武鉄道,桐生線,private,ordinary_linear,8,20.5,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟小泉線,東武鉄道,小泉線,private,branched_terminal,9,18.1,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟鬼怒川線,東武鉄道,鬼怒川線,private,ordinary_linear,9,16.4,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟越生線,東武鉄道,越生線,private,ordinary_linear,8,11.3,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟亀戸線,東武鉄道,亀戸線,private,ordinary_linear,5,3.7,,unverified
35,J07-1,jp,関東大手私鉄,東武鉄道␟大師線,東武鉄道,大師線,private,ordinary_linear,2,1.0,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟池袋線,西武鉄道,池袋線,private,branched_terminal,31,57.8,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟新宿線,西武鉄道,新宿線,private,ordinary_linear,29,47.8,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟西武秩父線,西武鉄道,西武秩父線,private,branched_terminal,6,19.0,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟拝島線,西武鉄道,拝島線,private,ordinary_linear,8,14.7,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟多摩湖線,西武鉄道,多摩湖線,private,ordinary_linear,7,9.2,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟多摩川線,西武鉄道,多摩川線,private,ordinary_linear,6,8.1,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟国分寺線,西武鉄道,国分寺線,private,ordinary_linear,5,8.0,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟狭山線,西武鉄道,狭山線,private,ordinary_linear,3,4.2,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟西武有楽町線,西武鉄道,西武有楽町線,private,ordinary_linear,3,2.8,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟西武園線,西武鉄道,西武園線,private,ordinary_linear,2,2.6,,unverified
36,J07-2,jp,関東大手私鉄,西武鉄道␟豊島線,西武鉄道,豊島線,private,ordinary_linear,2,1.1,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟本線,京成電鉄,本線,private,ordinary_linear,42,69.4,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟成田空港線,京成電鉄,成田空港線,private,ordinary_linear,8,52.2,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟松戸線,京成電鉄,松戸線,private,ordinary_linear,24,26.8,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟千葉線,京成電鉄,千葉線,private,ordinary_linear,10,12.9,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟千原線,京成電鉄,千原線,private,ordinary_linear,6,11.1,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟東成田線,京成電鉄,東成田線,private,ordinary_linear,2,7.3,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟押上線,京成電鉄,押上線,private,ordinary_linear,6,5.9,,unverified
37,J07-3,jp,関東大手私鉄,京成電鉄␟金町線,京成電鉄,金町線,private,ordinary_linear,3,2.6,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟田園都市線,東急電鉄,田園都市線,private,ordinary_linear,27,31.6,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟東横線,東急電鉄,東横線,private,branched_terminal,22,25.1,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟池上線,東急電鉄,池上線,private,ordinary_linear,15,10.9,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟大井町線,東急電鉄,大井町線,private,ordinary_linear,15,10.6,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟目黒線,東急電鉄,目黒線,private,ordinary_linear,8,6.6,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟東急新横浜線,東急電鉄,東急新横浜線,private,ordinary_linear,3,6.1,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟東急多摩川線,東急電鉄,東急多摩川線,private,ordinary_linear,7,5.7,,unverified
38,J07-4,jp,関東大手私鉄,東急電鉄␟こどもの国線,東急電鉄,こどもの国線,private,ordinary_linear,3,3.4,,unverified
38,J07-4,jp,関東大手私鉄,京王電鉄␟京王線,京王電鉄,京王線,private,loop_with_tail,35,40.7,,pending
38,J07-4,jp,関東大手私鉄,京王電鉄␟相模原線,京王電鉄,相模原線,private,ordinary_linear,12,22.8,,unverified
38,J07-4,jp,関東大手私鉄,京王電鉄␟井の頭線,京王電鉄,井の頭線,private,ordinary_linear,17,12.9,,unverified
38,J07-4,jp,関東大手私鉄,京王電鉄␟高尾線,京王電鉄,高尾線,private,ordinary_linear,7,8.8,,unverified
38,J07-4,jp,関東大手私鉄,京王電鉄␟動物園線,京王電鉄,動物園線,private,ordinary_linear,2,2.1,,unverified
38,J07-4,jp,関東大手私鉄,京王電鉄␟競馬場線,京王電鉄,競馬場線,private,ordinary_linear,2,1.1,,unverified
39,J07-5,jp,関東大手私鉄,京浜急行電鉄␟本線,京浜急行電鉄,本線,private,ordinary_linear,50,56.8,,unverified
39,J07-5,jp,関東大手私鉄,京浜急行電鉄␟久里浜線,京浜急行電鉄,久里浜線,private,ordinary_linear,9,13.5,,unverified
39,J07-5,jp,関東大手私鉄,京浜急行電鉄␟空港線,京浜急行電鉄,空港線,private,ordinary_linear,7,6.8,,unverified
39,J07-5,jp,関東大手私鉄,京浜急行電鉄␟逗子線,京浜急行電鉄,逗子線,private,ordinary_linear,4,6.1,,unverified
39,J07-5,jp,関東大手私鉄,京浜急行電鉄␟大師線,京浜急行電鉄,大師線,private,ordinary_linear,7,4.5,,unverified
39,J07-5,jp,関東大手私鉄,小田急電鉄␟小田原線,小田急電鉄,小田原線,private,branched_terminal,47,83.6,,unverified
39,J07-5,jp,関東大手私鉄,小田急電鉄␟江ノ島線,小田急電鉄,江ノ島線,private,branched_terminal,17,28.0,,unverified
39,J07-5,jp,関東大手私鉄,小田急電鉄␟多摩線,小田急電鉄,多摩線,private,ordinary_linear,8,10.8,,unverified
39,J07-5,jp,関東大手私鉄,相模鉄道␟相鉄本線,相模鉄道,相鉄本線,private,ordinary_linear,18,24.7,,unverified
39,J07-5,jp,関東大手私鉄,相模鉄道␟相鉄いずみ野線,相模鉄道,相鉄いずみ野線,private,ordinary_linear,8,11.5,,unverified
39,J07-5,jp,関東大手私鉄,相模鉄道␟相鉄新横浜線,相模鉄道,相鉄新横浜線,private,ordinary_linear,3,6.5,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟大阪線,近畿日本鉄道,大阪線,private,branch_rejoins,49,109.8,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟名古屋線,近畿日本鉄道,名古屋線,private,ordinary_linear,44,79.0,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟南大阪線,近畿日本鉄道,南大阪線,private,ordinary_linear,28,39.8,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟京都線,近畿日本鉄道,京都線,private,ordinary_linear,26,35.2,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟山田線,近畿日本鉄道,山田線,private,disconnected,14,28.4,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟奈良線,近畿日本鉄道,奈良線,private,ordinary_linear,19,26.7,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟橿原線,近畿日本鉄道,橿原線,private,branch_rejoins,17,25.9,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟吉野線,近畿日本鉄道,吉野線,private,branched_terminal,16,25.5,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟志摩線,近畿日本鉄道,志摩線,private,ordinary_linear,16,24.7,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟けいはんな線,近畿日本鉄道,けいはんな線,private,ordinary_linear,8,18.6,,unverified
40,J08-1,jp,関西・中部大手私鉄,近畿日本鉄道␟湯の山線,近畿日本鉄道,湯の山線,private,ordinary_linear,10,15.5,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟鳥羽線,近畿日本鉄道,鳥羽線,private,ordinary_linear,5,13.3,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟長野線,近畿日本鉄道,長野線,private,ordinary_linear,8,12.7,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟生駒線,近畿日本鉄道,生駒線,private,ordinary_linear,12,12.6,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟田原本線,近畿日本鉄道,田原本線,private,ordinary_linear,8,10.2,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟鈴鹿線,近畿日本鉄道,鈴鹿線,private,ordinary_linear,5,8.3,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟御所線,近畿日本鉄道,御所線,private,ordinary_linear,4,5.5,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟天理線,近畿日本鉄道,天理線,private,ordinary_linear,4,4.5,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟信貴線,近畿日本鉄道,信貴線,private,ordinary_linear,3,3.0,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟道明寺線,近畿日本鉄道,道明寺線,private,ordinary_linear,3,2.3,,unverified
41,J08-2,jp,関西・中部大手私鉄,近畿日本鉄道␟難波線,近畿日本鉄道,難波線,private,ordinary_linear,3,2.1,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟名古屋本線,名古屋鉄道,名古屋本線,private,branch_rejoins,60,101.5,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟三河線,名古屋鉄道,三河線,private,branched_terminal,23,39.6,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟尾西線,名古屋鉄道,尾西線,private,ordinary_linear,22,31.1,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟常滑線,名古屋鉄道,常滑線,private,ordinary_linear,23,29.3,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟河和線,名古屋鉄道,河和線,private,ordinary_linear,20,28.8,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟犬山線,名古屋鉄道,犬山線,private,branched_terminal,17,27.6,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟西尾線,名古屋鉄道,西尾線,private,ordinary_linear,14,24.7,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟広見線,名古屋鉄道,広見線,private,branched_terminal,11,22.1,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟小牧線,名古屋鉄道,小牧線,private,ordinary_linear,14,20.7,,unverified
42,J08-3,jp,関西・中部大手私鉄,名古屋鉄道␟瀬戸線,名古屋鉄道,瀬戸線,private,ordinary_linear,20,20.7,,unverified
43,J08-4,jp,関西・中部大手私鉄,名古屋鉄道␟各務原線,名古屋鉄道,各務原線,private,ordinary_linear,18,17.6,,unverified
43,J08-4,jp,関西・中部大手私鉄,名古屋鉄道␟蒲郡線,名古屋鉄道,蒲郡線,private,ordinary_linear,10,17.6,,unverified
43,J08-4,jp,関西・中部大手私鉄,名古屋鉄道␟豊田線,名古屋鉄道,豊田線,private,ordinary_linear,8,15.3,,unverified
43,J08-4,jp,関西・中部大手私鉄,名古屋鉄道␟知多新線,名古屋鉄道,知多新線,private,ordinary_linear,6,14.0,,unverified
