canonical_key,operator,line,render_kind,shape_class,session,built,display_line_ids,parts,drawn_km,drawn_stations,n02_km,semantic_km,audit_stations,n02_station_features,audit_edges,anchor_pass,anchor_warning,anchor_error,topology_status,topology_findings,builder_notes,skip_edges_dropped,not_drawn_reason,official_km,official_stations,source_url,verdict,review_notes
西日本旅客鉄道␟北陸線,西日本旅客鉄道,北陸線,jr_conventional,complex_multicycle,24,yes,jp-西日本旅客鉄道-北陸線,1,46.056,12,68.656,55.9,12,14,11,12,0,0,PASS,,"1 interval(s) differ from the audited distance: [('坂田', '米原', 2.547, 2.284)]",0,,,,,,
西日本旅客鉄道␟博多南線,西日本旅客鉄道,博多南線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-博多南線,1,8.48,2,9.391,8.198,2,2,1,2,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟可部線,西日本旅客鉄道,可部線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-可部線,1,15.676,14,15.785,14.455,14,14,13,14,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟吉備線,西日本旅客鉄道,吉備線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-吉備線,1,20.351,10,20.556,19.276,10,10,9,10,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟呉線,西日本旅客鉄道,呉線,jr_conventional,ordinary_linear,23,yes,jp-西日本旅客鉄道-呉線,1,86.842,28,87.619,81.796,28,28,27,28,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟和歌山線,西日本旅客鉄道,和歌山線,jr_conventional,ordinary_linear,23,yes,jp-西日本旅客鉄道-和歌山線,1,87.402,36,87.553,83.141,36,36,35,36,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟因美線,西日本旅客鉄道,因美線,jr_conventional,ordinary_linear,24,yes,jp-西日本旅客鉄道-因美線,1,70.824,19,71.016,68.646,19,19,18,19,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟城端線,西日本旅客鉄道,城端線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-城端線,1,29.736,14,29.889,28.382,14,14,13,14,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟境線,西日本旅客鉄道,境線,jr_conventional,ordinary_linear,26,yes,jp-西日本旅客鉄道-境線,1,18.254,16,18.437,16.816,16,16,15,16,0,0,PASS,,,0,,,,,,
西日本旅客鉄道␟大糸線,西日本旅客鉄道,大糸線,jr_conventional,ordinary_linear,25,yes,jp-西日本旅客鉄道-大糸線,1,35.288,9,35.52,34.532,9,9,8,9,0,0,PASS,,,0,,,,,,
