철도운영기관명,선명,역명,역구성순서,구간키로,기점키로
부산교통공사,2호선,장산(해운대백병원),1,0,0
부산교통공사,2호선,중동,2,0.9,0.9
부산교통공사,2호선,해운대,3,1,1.9
부산교통공사,2호선,동백,4,1.1,3
부산교통공사,2호선,벡스코(시립미술관),5,1.1,4.1
부산교통공사,2호선,센텀시티(BEXCO·신세계),6,0.8,4.9
부산교통공사,2호선,민락,7,1,5.9
부산교통공사,2호선,수영,8,0.9,6.8
부산교통공사,2호선,광안,9,0.9,7.7
부산교통공사,2호선,금련산,10,0.9,8.6
부산교통공사,2호선,남천(KBS·수영구청),11,0.9,9.5
부산교통공사,2호선,경성대·부경대(동명대학교),12,0.8,10.3
부산교통공사,2호선,대연(고려병원),13,0.9,11.2
부산교통공사,2호선,못골(남구청),14,0.7,11.9
부산교통공사,2호선,지게골,15,0.9,12.8
부산교통공사,2호선,문현,16,0.9,13.7
부산교통공사,2호선,국제금융센터·부산은행,17,0.7,14.4
부산교통공사,2호선,전포,18,0.8,15.2
부산교통공사,2호선,서면,19,1.1,16.3
부산교통공사,2호선,부암(온종합병원),20,0.8,17.1
부산교통공사,2호선,가야,21,0.7,17.8
부산교통공사,2호선,동의대,22,0.9,18.7
부산교통공사,2호선,개금,23,1.1,19.8
부산교통공사,2호선,냉정,24,0.8,20.6
부산교통공사,2호선,주례,25,0.8,21.4
부산교통공사,2호선,감전(사상구청),26,1.2,22.6
부산교통공사,2호선,사상(서부터미널),27,1.1,23.7
부산교통공사,2호선,덕포,28,1.2,24.9
부산교통공사,2호선,모덕,29,0.8,25.7
부산교통공사,2호선,모라,30,1.1,26.8
부산교통공사,2호선,구남,31,1,27.8
부산교통공사,2호선,구명,32,0.8,28.6
부산교통공사,2호선,덕천(부산과기대),33,1.2,29.8
부산교통공사,2호선,수정(방송통신대),34,1.5,31.3
부산교통공사,2호선,화명,35,1.5,32.8
부산교통공사,2호선,율리,36,1.2,34
부산교통공사,2호선,동원,37,1.4,35.4
부산교통공사,2호선,금곡,38,1.1,36.5
부산교통공사,2호선,호포,39,1.5,38
부산교통공사,2호선,증산,40,3.5,41.5
부산교통공사,2호선,부산대양산캠퍼스,41,1,42.5
부산교통공사,2호선,남양산(범어),42,1.1,43.6
부산교통공사,2호선,양산(시청·동원과학기술대학교),43,1.6,45.2
