철도운영기관명,선명,역명,역구성순서,구간키로,기점키로
대구교통공사,2호선,문양,1,2.9,0
대구교통공사,2호선,다사,2,1,2.9
대구교통공사,2호선,대실,3,1.4,3.9
대구교통공사,2호선,강창,4,1.3,5.3
대구교통공사,2호선,계명대,5,1.2,6.5
대구교통공사,2호선,성서산업단지,6,0.8,7.7
대구교통공사,2호선,이곡,7,1.3,8.5
대구교통공사,2호선,용산(서부법원.검찰청입구),8,0.9,9.7
대구교통공사,2호선,죽전,9,0.9,10.6
대구교통공사,2호선,감삼,10,0.8,11.5
대구교통공사,2호선,두류,11,0.9,12.3
대구교통공사,2호선,내당,12,0.8,13.2
대구교통공사,2호선,반고개,13,0.9,14
대구교통공사,2호선,청라언덕,14,1,14.9
대구교통공사,2호선,반월당,15,0.9,15.9
대구교통공사,2호선,경대병원,16,1.1,16.8
대구교통공사,2호선,대구은행,17,1,17.9
대구교통공사,2호선,범어,18,0.9,18.9
대구교통공사,2호선,수성구청(KBS),19,0.9,19.8
대구교통공사,2호선,만촌,20,0.9,20.7
대구교통공사,2호선,담티(산대.대륜),21,1.8,21.6
대구교통공사,2호선,연호,22,1,22.5
대구교통공사,2호선,수성알파시티(삼성라이온즈파크),23,1.2,23.4
대구교통공사,2호선,고산,24,1.1,24.6
대구교통공사,2호선,신매,25,1.1,25.7
대구교통공사,2호선,사월,26,1.1,26.8
대구교통공사,2호선,정평,27,1.2,27.8
대구교통공사,2호선,임당,28,1.1,28.9
대구교통공사,2호선,영남대,29,0,30
